duration,start_date,end_date,weeks,final_btc_price,optimum_btc,optimum_investment,optimum_value,optimum_profit,optimum_return_pct,simple_btc,simple_investment,simple_value,simple_profit,simple_return_pct,outperformance_pct,outperformance_ratio
4-Year,2018-01-12,2022-01-07,208,41512.78,14.147524521830102,50976.11443293873,587303.0730193382,536326.9585863994,1052.1142392913462,5.571712036120825,52000.0,231297.25597883586,179297.25597883586,344.80241534391513,707.3118239474311,3.051354029066007
4-Year,2018-01-19,2022-01-14,208,43102.65,11.825672691567302,21233.658964664264,509717.83103918337,488484.1720745191,2300.51812025155,5.559296887512118,52000.0,239620.4279885242,187620.4279885242,360.80851536254653,1939.7096048890035,6.376008387551359
4-Year,2018-01-26,2022-01-21,208,36492.0,12.107553161994035,25392.136745010175,441828.82998748636,416436.6932424762,1640.022253441552,5.541936264093851,52000.0,202236.33814931283,150236.33814931283,288.91603490252464,1351.1062185390274,5.676466707688507
4-Year,2018-02-02,2022-01-28,208,37768.85,7.5815588064980215,-38670.24634316375,286346.7573288028,325017.00367196655,0.0,5.526299015951377,52000.0,208721.95858861515,156721.95858861515,301.388381901183,-301.388381901183,0.0
4-Year,2018-02-09,2022-02-04,208,41080.0,9.912866160357673,-3049.425531350598,407220.5418674932,410269.9673988438,0.0,5.4962999675813995,52000.0,225788.0026682439,173788.0026682439,334.20769743893055,-334.20769743893055,0.0
4-Year,2018-02-16,2022-02-11,208,42357.32,11.813469738014886,23331.666197599578,500386.9180034127,477055.25180581317,2044.6685965998172,5.4739330467215845,52000.0,231861.13371856112,179861.13371856112,345.8867956126175,1698.7818009871996,5.911380898419096
4-Year,2018-02-23,2022-02-18,208,40044.22,10.85664103373202,11868.12199634483,434745.72201579245,422877.6000194476,3563.13829727809,5.457366886025565,52000.0,218536.00020472266,166536.00020472266,320.26153885523587,3242.876758422854,11.125714033643902
4-Year,2018-03-02,2022-02-25,208,39323.77,12.240535791446352,28296.94303606712,481344.01413960423,453047.0711035371,1601.0459876393218,5.439866953521697,52000.0,213916.07691088787,161916.07691088787,311.37707098247665,1289.668916656845,5.141823649980392
4-Year,2018-03-09,2022-03-04,208,39148.66,9.895754932209877,-2999.2316698506365,387405.54528440756,390404.7769542582,0.0,5.423994232316858,52000.0,212342.1060429337,160342.1060429337,308.35020392871866,-308.35020392871866,0.0
4-Year,2018-03-16,2022-03-11,208,38825.36,9.137671487710337,-13336.987729287006,354773.38507208944,368110.37280137645,0.0,5.403244291502449,52000.0,209782.90478552753,157782.90478552753,303.42866304909137,-303.42866304909137,0.0
4-Year,2018-03-23,2022-03-18,208,41826.12,8.728923783318445,-20000.15132012587,365097.0136319313,385097.1649520571,0.0,5.380265389514916,52000.0,225035.62581369764,173035.62581369764,332.76081887249546,-332.76081887249546,0.0
4-Year,2018-03-30,2022-03-25,208,44347.03,7.510159781875486,-42190.285186498375,333053.2811516256,375243.566338124,0.0,5.355756035987714,52000.0,237511.8736006282,185511.8736006282,356.7536030781311,-356.7536030781311,0.0
4-Year,2018-04-06,2022-04-01,208,46307.81,6.746752368335645,-51937.272834604824,312427.32678993704,364364.5996245419,0.0,5.32550459925824,52000.0,246612.4551365767,194612.4551365767,374.2547214164937,-374.2547214164937,0.0
4-Year,2018-04-13,2022-04-08,208,42222.07,8.273949818138613,-26100.495922754322,349343.2883979358,375443.78432069015,0.0,5.293753051889412,52000.0,223513.21191958836,171513.21191958836,329.83309984536226,-329.83309984536226,0.0
4-Year,2018-04-20,2022-04-15,208,40527.33,9.169783456332423,-12201.910765982626,371626.8401633247,383828.75092930737,0.0,5.269007562930922,52000.0,213538.80827539723,161538.80827539723,310.6515543757639,-310.6515543757639,0.0
4-Year,2018-04-27,2022-04-22,208,39737.97,9.333196178959112,-8989.184857216796,370882.2697635918,379871.4546208086,0.0,5.247139104142081,52000.0,208510.6563062249,156510.6563062249,300.9820313581248,-300.9820313581248,0.0
4-Year,2018-05-04,2022-04-29,208,38609.51,9.345325897292815,-8401.246538078205,360818.4536847859,369219.7002228641,0.0,5.226226629342488,52000.0,201782.0493078651,149782.0493078651,288.04240251512516,-288.04240251512516,0.0
4-Year,2018-05-11,2022-05-06,208,35919.7,8.581839399870166,-19647.701304412716,308257.09669151634,327904.7979959291,0.0,5.205941013469775,52000.0,186995.83942153025,134995.83942153025,259.6073835029428,-259.6073835029428,0.0
4-Year,2018-05-18,2022-05-13,208,29285.93,8.279378221900435,-24260.534486696895,242469.2910501006,266729.8255367975,0.0,5.1854216981390575,52000.0,151859.89687218156,99859.89687218156,192.03826321573376,-192.03826321573376,0.0
4-Year,2018-05-25,2022-05-20,208,29224.25,6.959113869964679,-49092.15958320818,203374.88351431527,252467.04309752345,0.0,5.164019013589804,52000.0,150914.58265790183,98914.58265790183,190.22035126519583,-190.22035126519583,0.0
4-Year,2018-06-01,2022-05-27,208,28612.04,7.290877275216498,-41559.755939884046,208606.87223358545,250166.6281734695,0.0,5.137455859916168,52000.0,146993.0925621558,94993.0925621558,182.6790241579919,-182.6790241579919,0.0
4-Year,2018-06-08,2022-06-03,208,29662.67,6.190854829194928,-58108.115201969194,183637.2838163155,241745.3990182847,0.0,5.111940589145443,52000.0,151633.80675542686,99633.80675542686,191.60347452966704,-191.60347452966704,0.0
4-Year,2018-06-15,2022-06-10,208,29070.4,5.901499036134815,-62726.43159845912,171558.93758005355,234285.36917851266,0.0,5.083419943311273,52000.0,147777.05112003602,95777.05112003602,184.18663676930004,-184.18663676930004,0.0
